Time,Error,Angle
699,-31.74938,18.90294
824,-2.43375,18.41619
948,5.641875,19.85055
1071,-14.04938,16.30746
1643,-32.41312,9.65645
1765,1.880625,11.34168
2002,11.83687,13.95582
2124,-18.47438,9.118647
2690,-8.4075,7.509006
2810,21.6825,13.03505
3047,5.863125,13.92342
3165,-33.51937,5.638264
3615,-24.55875,0.7968688
3735,17.81063,6.01897
4080,14.16,8.836721
4198,-28.09875,1.525142
4650,-8.628751,-0.01862466
4768,31.19625,7.825754
4996,22.125,12.11325
5118,-18.80625,6.756511
5684,-7.633125,5.305099
5803,26.55,11.96605
6039,8.628751,13.36989
6157,-31.30688,5.490048
6605,-27.8775,-0.07611322
6727,21.24,6.062208
7073,13.7175,8.741764
7189,-32.85563,0.2879438
7640,-13.93875,-2.326742
7757,30.975,5.676437
7985,27.8775,11.24726
8105,-1.3275,9.849127
8669,-21.6825,5.318927
8788,22.23563,11.49718
9021,11.0625,13.53501
9141,-24.11625,7.326269
9707,4.978125,8.556138
9826,22.89938,13.85649
