Time,Error,Angle
115,-19.13812,21.46446
231,-18.80625,17.70321
348,-16.92563,14.39274
465,-5.973751,13.64097
582,2.655,14.54545
699,-14.16,11.0644
818,-16.26188,7.687588
940,8.075625,10.22436
1061,-17.58937,5.760936
1175,-7.854375,4.527477
1288,-5.53125,3.538487
1401,-4.978125,2.573441
1641,-12.05813,0.0200305
1760,0.4425,0.5919578
1990,1.659375,0.9657448
2112,18.25313,5.25247
2232,-27.8775,-2.09993
2460,4.535625,-0.5685353
2815,26.43937,5.035638
3044,-4.756876,3.436619
3163,-4.64625,2.471414
3289,-12.50063,-0.324013
3410,0.6637501,0.3047753
3754,2.101875,0.7567065
3879,-4.093125,-0.2947499
3998,1.880625,0.300322
4228,2.2125,0.7571777
4351,19.0275,5.205552
4471,-27.76688,-2.136352
4584,0.4425,-0.9994349
4698,4.64625,0.1686109
5054,25.2225,5.501799
5282,-4.8675,3.903071
5401,-4.756876,2.916863
5528,-13.60688,-0.1344466
5643,-0.331875,0.3176448
5988,1.659375,0.6894171
6112,-0.995625,0.3920977
6228,1.659375,0.824762
6343,1.54875,1.136536
6583,15.37687,4.491946
6704,-29.86875,-3.218805
6816,1.3275,-1.77803
6930,5.863125,-0.3427671
7173,-6.748125,-1.935326
7295,4.425,-0.6353268
7525,4.535625,0.2880011
7771,-3.54,-0.5791132
7887,2.87625,0.24473
8116,2.986875,0.8527431
8234,2.323125,1.291692
8360,11.505,3.936448
8474,-1.216875,3.197994
8828,-4.64625,2.210326
8943,-2.2125,1.862244
9286,-1.3275,1.611493
9411,-12.72188,-1.363736
9532,30.5325,6.380552
9762,-6.748125,4.302352
9885,9.735001,6.83441
10005,-28.20938,-0.2651639
10118,-3.0975,0.05747807
10232,1.880625,0.6991701
10585,17.14688,4.345268
10700,-2.2125,3.123218
11053,-2.323125,2.639926
11169,-2.986875,2.014579
