Time,Error,Angle
110,-26.88188,8.484031
220,-26.77125,-4.901595
331,-3.208125,-4.52486
443,19.13812,7.055212
556,4.978125,8.505921
667,-25.55438,-6.907395
779,-29.42625,-22.11405
891,0.331875,-19.47956
1005,27.435,-3.378649
1120,19.0275,5.609856
1235,-24.00563,-9.955757
1348,-25.44375,-23.03092
1460,15.70875,-11.7694
1574,33.85125,6.866149
1686,20.13375,15.90293
1798,-21.35063,1.701034
1908,-24.00563,-10.76088
2021,12.72188,-1.393757
2241,28.7625,13.7961
2355,19.24875,22.69315
2466,-10.06688,15.14669
2576,-23.4525,2.116121
2688,-7.965,-0.6618249
2801,13.05375,7.681991
2914,4.978125,9.622949
3025,-17.2575,-0.9116716
3137,-24.00563,-13.60925
3249,-9.2925,-17.08482
3361,18.1425,-5.62898
3473,13.7175,1.020821
3585,-14.16,-8.416636
3698,-25.33313,-22.15317
3810,-1.438125,-20.95126
3925,31.74938,-2.23
4041,31.63875,13.76319
4154,-9.95625,5.3577
4265,-27.76688,-10.25224
4377,-1.3275,-8.826462
4488,33.63,11.06697
4600,34.73625,28.72908
4711,-15.15563,16.97685
4821,-22.67813,4.71844
4933,-8.296875,1.707875
5044,16.04063,11.8502
5157,11.61563,17.43179
5268,-11.505,9.720556
5379,-21.24,-1.856882
5490,-14.27063,-8.470373
5601,5.31,-4.148463
5713,8.4075,0.4271827
5824,-7.965,-4.895502
5936,-16.15125,-13.74246
6048,-7.965,-17.0937
6160,11.0625,-9.920704
6272,11.9475,-3.765778
6384,0.774375,-4.297993
6495,-8.075625,-9.141272
6607,2.2125,-7.230809
6718,16.815,2.458026
6830,18.91688,12.17668
6942,0.22125,10.74605
7053,-11.505,3.904701
7164,-0.4425,4.540564
7275,13.60688,12.58238
7388,11.83687,18.43542
7498,-3.76125,15.23918
7609,-15.70875,6.283191
7721,-12.16875,0.4190049
7832,1.99125,2.619698
7945,4.314375,5.048228
8057,-6.416251,0.9635692
8168,-15.70875,-7.730602
8281,-13.16438,-14.15769
8393,2.655,-11.50115
8504,9.735001,-5.949575
8617,-2.655,-8.264559
8728,-7.743751,-12.62615
8840,0.885,-11.49683
8952,10.62,-5.322521
9064,12.16875,0.9467568
9176,-1.216875,-0.7745534
9288,-0.995625,-1.32729
9401,7.965,3.392403
9515,12.61125,10.1271
9627,8.739375,14.20001
9738,-0.774375,12.99321
9848,-5.31,9.902101
9959,-2.544375,8.833227
10070,0.995625,9.642225
10182,-1.10625,8.934525
10294,-6.416251,5.269683
10405,-8.628751,0.7405701
10517,-8.296875,-3.394334
10630,-5.420625,-5.867924
10741,-1.438125,-6.236368
10853,-4.978125,-8.99956
10965,-6.6375,-12.47483
11076,-1.438125,-12.77084
11188,3.76125,-10.42484
11300,5.31,-7.609855
11412,3.208125,-6.169036
11524,3.31875,-4.511282
11635,7.08,-0.6578414
11747,7.854375,3.354693
11861,6.416251,6.449539
11972,2.43375,7.326907
12083,2.87625,8.779519
12195,5.641875,11.83391
12306,3.9825,13.70232
12417,-0.0,13.35641
12529,-5.08875,10.36488
12640,-7.522501,6.369127
12751,-7.743751,2.462966
12862,0.110625,3.170766
12973,-3.31875,1.266754
13085,-9.181875,-3.829178
13199,-9.403126,-8.581834
13311,-4.8675,-10.64087
13422,0.995625,-9.625117
13534,0.885,-9.157269
13645,-0.553125,-9.552035
13757,-0.331875,-9.707371
13869,1.77,-8.644971
13981,6.416251,-5.037753
14093,8.85,-0.3852901
14204,4.535625,1.535057
14317,3.208125,3.006511
14430,6.084375,6.277764
14543,7.965,10.43223
14654,5.641875,13.06939
14765,1.3275,13.35816
14877,-2.87625,11.54472
14988,-3.76125,9.565425
15099,-3.871875,7.613587
15210,-1.99125,6.776321
15321,-3.650625,4.823184
15433,-8.739375,0.01716757
15544,-9.403126,-4.768672
15657,-4.64625,-6.700842
15768,-1.438125,-7.126532
15879,-4.425,-9.570494
15991,-6.416251,-12.95997
16103,0.331875,-12.24352
16215,5.199375,-9.197827
16327,5.31,-6.504339
16439,2.101875,-5.720512
16550,2.323125,-4.558226
16662,6.195,-1.135194
16774,7.965,3.016453
16886,9.181875,7.719122
16998,5.31,10.05877
17109,1.10625,10.23741
17220,1.10625,10.76549
17332,2.544375,12.1559
17444,1.659375,12.91965
17556,-1.880625,11.67986
17668,-7.411875,7.488914
17779,-9.181875,2.71674
17890,-5.31,0.3724864
18002,-3.208125,-1.035744
18116,-5.641875,-4.045005
18229,-8.075625,-8.296413
18341,-5.31,-10.73503
18453,-0.774375,-10.72976
18565,1.10625,-9.993831
18677,-0.110625,-10.13772
18790,0.995625,-9.553562
18902,3.76125,-7.436659
19014,6.416251,-3.993491
19127,6.969376,-0.4471011
19239,1.99125,0.1376272
19351,6.305625,3.620091
19466,8.739375,8.210846
19578,7.190625,11.69266
19691,1.3275,11.86012
19802,-0.6637501,11.32765
19914,0.22125,11.49874
20026,-0.4425,11.22617
20138,-3.54,9.194553
20249,-7.411875,5.14849
20361,-8.85,0.5810409
20473,-6.85875,-2.690472
20586,-4.314375,-4.628732
20699,-2.544375,-5.738844
20811,-5.31,-8.613643
20923,-6.748125,-12.12106
21035,-3.54,-13.63247
21148,4.093125,-10.93243
21260,5.7525,-7.874504
21373,4.535625,-5.695342
21485,0.774375,-5.627584
21597,4.20375,-3.261017
21709,6.85875,0.4052701
21821,8.186251,4.624776
21935,6.748125,7.889165
22048,2.544375,8.806599
22160,2.323125,9.925831
22272,4.535625,12.37527
22383,3.54,14.07433
22495,-3.871875,11.51057
22606,-6.526875,7.98416
22718,-6.195,4.896967
22829,-1.438125,4.575134
22941,-5.08875,1.752784
23054,-10.39875,-3.903875
23168,-8.186251,-7.845423
23280,-3.0975,-8.956255
23392,-1.77,-9.70154
23504,-1.659375,-10.51274
23616,-1.54875,-11.27675
23728,0.22125,-11.01789
23840,3.54,-8.961392
23953,6.526875,-5.429955
24065,6.969376,-1.891053
24177,3.650625,-0.3388041
24289,4.756876,2.113739
24404,9.2925,7.133661
24517,6.305625,10.06227
24629,1.659375,10.48976
24740,1.659375,11.29254
24852,2.101875,12.37858
24963,0.6637501,12.5929
