Time,Error,Angle
129,-31.4175,26.94439
258,-28.32,21.28039
385,-18.25313,18.00551
512,-10.1775,16.289
639,-7.411875,14.9288
764,-3.9825,14.26858
889,-4.8675,13.27014
1015,-5.973751,12.0323
1140,-6.305625,10.75622
1266,-6.416251,9.467917
1390,-6.969376,8.052939
1515,-6.195,6.841797
1640,-8.075625,5.157094
1764,-10.1775,3.038386
1887,-8.296875,1.445758
2008,-6.969376,0.1074716
2129,-7.411875,-1.38863
2251,-10.1775,-3.531375
2372,-8.518126,-5.17728
2493,-9.513751,-7.115072
2614,-8.85,-8.861499
2738,-6.748125,-10.12944
2861,-5.31,-11.13202
2984,-5.973751,-12.34867
3107,-4.978125,-13.30762
3230,-6.195,-14.59085
3352,-4.535625,-15.4373
3477,-4.978125,-16.44604
3602,-5.641875,-17.60016
6304,-1.438125,-17.88778
6431,1.54875,-17.57803
6558,3.76125,-16.74381
6685,5.420625,-15.59386
6813,4.64625,-14.68942
6938,2.544375,-14.26108
7063,3.208125,-13.59931
7186,5.08875,-12.50853
7308,5.973751,-11.27556
7431,7.743751,-9.656365
7552,9.845625,-7.601399
7672,9.95625,-5.600563
7793,9.181875,-3.79362
7915,10.28813,-1.695235
8038,7.08,-0.3992454
8162,8.296875,1.299298
8285,6.85875,2.61852
8407,8.85,4.461915
8529,7.743751,5.972888
8653,6.969376,7.335143
8777,6.6375,8.648161
8901,7.30125,10.13287
9025,6.748125,11.46302
9148,3.871875,12.12723
9273,3.871875,12.89501
9398,3.31875,13.53757
9524,2.87625,14.09491
9648,2.655,14.61652
9774,1.10625,14.77896
9900,1.10625,14.99672
10026,1.10625,15.21776
10151,0.774375,15.36024
10277,-0.331875,15.25183
10404,-0.6637501,15.1042
10530,-1.3275,14.81304
10655,-2.655,14.23059
10780,-3.9825,13.38108
10906,-3.429375,12.71271
11033,-3.0975,12.10643
11159,-5.08875,11.01515
11285,-6.6375,9.625004
11410,-7.633125,8.057495
11535,-7.190625,6.633564
11660,-8.518126,4.880867
11784,-8.518126,3.174282
11908,-9.845625,1.154678
12031,-9.513751,-0.7383944
12153,-7.08,-2.060885
12275,-8.518126,-3.814115
12397,-7.965,-5.38873
12518,-9.2925,-7.297178
12641,-6.748125,-8.55197
12764,-6.85875,-9.922193
12887,-6.195,-11.13556
13009,-5.7525,-12.26761
